,mask,gender,age,mask_label,gender_label,age_label,path,label
0,normal,female,18,2,1,0,/opt/ml/input/data/train/images/003117_female_Asian_18/normal.jpg,15
1,mask1,female,18,0,1,0,/opt/ml/input/data/train/images/003117_female_Asian_18/mask1.jpg,3
2,mask2,female,18,0,1,0,/opt/ml/input/data/train/images/003117_female_Asian_18/mask2.jpg,3
3,mask4,female,18,0,1,0,/opt/ml/input/data/train/images/003117_female_Asian_18/mask4.jpg,3
4,incorrect_mask,female,18,1,1,0,/opt/ml/input/data/train/images/003117_female_Asian_18/incorrect_mask.jpg,9
5,mask3,female,18,0,1,0,/opt/ml/input/data/train/images/003117_female_Asian_18/mask3.jpg,3
6,mask5,female,18,0,1,0,/opt/ml/input/data/train/images/003117_female_Asian_18/mask5.jpg,3
7,normal,female,58,2,1,2,/opt/ml/input/data/train/images/000243_female_Asian_58/normal.jpg,17
8,mask1,female,58,0,1,2,/opt/ml/input/data/train/images/000243_female_Asian_58/mask1.jpg,5
9,mask2,female,58,0,1,2,/opt/ml/input/data/train/images/000243_female_Asian_58/mask2.jpg,5
10,mask4,female,58,0,1,2,/opt/ml/input/data/train/images/000243_female_Asian_58/mask4.jpg,5
11,incorrect_mask,female,58,1,1,2,/opt/ml/input/data/train/images/000243_female_Asian_58/incorrect_mask.jpg,11
12,mask3,female,58,0,1,2,/opt/ml/input/data/train/images/000243_female_Asian_58/mask3.jpg,5
13,mask5,female,58,0,1,2,/opt/ml/input/data/train/images/000243_female_Asian_58/mask5.jpg,5
14,normal,male,23,2,0,0,/opt/ml/input/data/train/images/006502_male_Asian_26/normal.jpeg,12
15,mask3,male,23,0,0,0,/opt/ml/input/data/train/images/006502_male_Asian_26/mask3.jpeg,0
16,mask4,male,23,0,0,0,/opt/ml/input/data/train/images/006502_male_Asian_26/mask4.jpeg,0
17,incorrect_mask,male,23,1,0,0,/opt/ml/input/data/train/images/006502_male_Asian_26/incorrect_mask.jpeg,6
18,mask2,male,23,0,0,0,/opt/ml/input/data/train/images/006502_male_Asian_26/mask2.jpeg,0
19,mask5,male,23,0,0,0,/opt/ml/input/data/train/images/006502_male_Asian_26/mask5.jpeg,0
20,mask1,male,23,0,0,0,/opt/ml/input/data/train/images/006502_male_Asian_26/mask1.jpeg,0
21,normal,female,60,2,1,2,/opt/ml/input/data/train/images/001106_female_Asian_60/normal.jpg,17
22,mask1,female,60,0,1,2,/opt/ml/input/data/train/images/001106_female_Asian_60/mask1.jpg,5
23,mask2,female,60,0,1,2,/opt/ml/input/data/train/images/001106_female_Asian_60/mask2.jpg,5
24,mask4,female,60,0,1,2,/opt/ml/input/data/train/images/001106_female_Asian_60/mask4.jpg,5
25,incorrect_mask,female,60,1,1,2,/opt/ml/input/data/train/images/001106_female_Asian_60/incorrect_mask.jpg,11
26,mask3,female,60,0,1,2,/opt/ml/input/data/train/images/001106_female_Asian_60/mask3.jpg,5
27,mask5,female,60,0,1,2,/opt/ml/input/data/train/images/001106_female_Asian_60/mask5.jpg,5
28,normal,male,18,2,0,0,/opt/ml/input/data/train/images/006614_male_Asian_19/normal.jpeg,12
29,mask3,male,18,0,0,0,/opt/ml/input/data/train/images/006614_male_Asian_19/mask3.jpeg,0
30,mask4,male,18,0,0,0,/opt/ml/input/data/train/images/006614_male_Asian_19/mask4.jpeg,0
31,incorrect_mask,male,18,1,0,0,/opt/ml/input/data/train/images/006614_male_Asian_19/incorrect_mask.jpeg,6
32,mask2,male,18,0,0,0,/opt/ml/input/data/train/images/006614_male_Asian_19/mask2.jpeg,0
33,mask5,male,18,0,0,0,/opt/ml/input/data/train/images/006614_male_Asian_19/mask5.jpeg,0
34,mask1,male,18,0,0,0,/opt/ml/input/data/train/images/006614_male_Asian_19/mask1.jpeg,0
35,normal,female,60,2,1,2,/opt/ml/input/data/train/images/003583_female_Asian_60/normal.jpg,17
36,mask1,female,60,0,1,2,/opt/ml/input/data/train/images/003583_female_Asian_60/mask1.jpg,5
37,mask2,female,60,0,1,2,/opt/ml/input/data/train/images/003583_female_Asian_60/mask2.jpg,5
38,mask4,female,60,0,1,2,/opt/ml/input/data/train/images/003583_female_Asian_60/mask4.jpg,5
39,incorrect_mask,female,60,1,1,2,/opt/ml/input/data/train/images/003583_female_Asian_60/incorrect_mask.jpg,11
40,mask3,female,60,0,1,2,/opt/ml/input/data/train/images/003583_female_Asian_60/mask3.jpg,5
41,mask5,female,60,0,1,2,/opt/ml/input/data/train/images/003583_female_Asian_60/mask5.jpg,5
42,normal,female,43,2,1,1,/opt/ml/input/data/train/images/001868_female_Asian_52/normal.jpg,16
43,mask1,female,43,0,1,1,/opt/ml/input/data/train/images/001868_female_Asian_52/mask1.jpg,4
44,mask2,female,43,0,1,1,/opt/ml/input/data/train/images/001868_female_Asian_52/mask2.jpg,4
45,mask4,female,43,0,1,1,/opt/ml/input/data/train/images/001868_female_Asian_52/mask4.jpg,4
46,incorrect_mask,female,43,1,1,1,/opt/ml/input/data/train/images/001868_female_Asian_52/incorrect_mask.jpg,10
47,mask3,female,43,0,1,1,/opt/ml/input/data/train/images/001868_female_Asian_52/mask3.jpg,4
48,mask5,female,43,0,1,1,/opt/ml/input/data/train/images/001868_female_Asian_52/mask5.jpg,4
49,normal,female,57,2,1,1,/opt/ml/input/data/train/images/005056_female_Asian_55/normal.jpg,16
50,mask1,female,57,0,1,1,/opt/ml/input/data/train/images/005056_female_Asian_55/mask1.jpg,4
51,mask2,female,57,0,1,1,/opt/ml/input/data/train/images/005056_female_Asian_55/mask2.jpg,4
52,mask4,female,57,0,1,1,/opt/ml/input/data/train/images/005056_female_Asian_55/mask4.jpg,4
53,incorrect_mask,female,57,1,1,1,/opt/ml/input/data/train/images/005056_female_Asian_55/incorrect_mask.jpg,10
54,mask3,female,57,0,1,1,/opt/ml/input/data/train/images/005056_female_Asian_55/mask3.jpg,4
55,mask5,female,57,0,1,1,/opt/ml/input/data/train/images/005056_female_Asian_55/mask5.jpg,4
56,normal,female,20,2,1,0,/opt/ml/input/data/train/images/006542_female_Asian_21/normal.jpg,15
57,mask1,female,20,0,1,0,/opt/ml/input/data/train/images/006542_female_Asian_21/mask1.jpg,3
58,mask2,female,20,0,1,0,/opt/ml/input/data/train/images/006542_female_Asian_21/mask2.jpg,3
59,mask4,female,20,0,1,0,/opt/ml/input/data/train/images/006542_female_Asian_21/mask4.jpg,3
60,incorrect_mask,female,20,1,1,0,/opt/ml/input/data/train/images/006542_female_Asian_21/incorrect_mask.jpg,9
61,mask3,female,20,0,1,0,/opt/ml/input/data/train/images/006542_female_Asian_21/mask3.jpg,3
62,mask5,female,20,0,1,0,/opt/ml/input/data/train/images/006542_female_Asian_21/mask5.jpg,3
63,normal,female,57,2,1,1,/opt/ml/input/data/train/images/000294_female_Asian_53/normal.jpg,16
64,mask1,female,57,0,1,1,/opt/ml/input/data/train/images/000294_female_Asian_53/mask1.jpg,4
65,mask2,female,57,0,1,1,/opt/ml/input/data/train/images/000294_female_Asian_53/mask2.jpg,4
66,mask4,female,57,0,1,1,/opt/ml/input/data/train/images/000294_female_Asian_53/mask4.jpg,4
67,incorrect_mask,female,57,1,1,1,/opt/ml/input/data/train/images/000294_female_Asian_53/incorrect_mask.jpg,10
68,mask3,female,57,0,1,1,/opt/ml/input/data/train/images/000294_female_Asian_53/mask3.jpg,4
69,mask5,female,57,0,1,1,/opt/ml/input/data/train/images/000294_female_Asian_53/mask5.jpg,4
70,normal,female,30,2,1,1,/opt/ml/input/data/train/images/001841_female_Asian_40/normal.jpg,16
71,mask1,female,30,0,1,1,/opt/ml/input/data/train/images/001841_female_Asian_40/mask1.jpg,4
72,mask2,female,30,0,1,1,/opt/ml/input/data/train/images/001841_female_Asian_40/mask2.jpg,4
73,mask4,female,30,0,1,1,/opt/ml/input/data/train/images/001841_female_Asian_40/mask4.jpg,4
74,incorrect_mask,female,30,1,1,1,/opt/ml/input/data/train/images/001841_female_Asian_40/incorrect_mask.jpg,10
75,mask3,female,30,0,1,1,/opt/ml/input/data/train/images/001841_female_Asian_40/mask3.jpg,4
76,mask5,female,30,0,1,1,/opt/ml/input/data/train/images/001841_female_Asian_40/mask5.jpg,4
77,normal,male,30,2,0,1,/opt/ml/input/data/train/images/005451_male_Asian_32/normal.jpg,13
78,mask1,male,30,0,0,1,/opt/ml/input/data/train/images/005451_male_Asian_32/mask1.jpg,1
79,mask2,male,30,0,0,1,/opt/ml/input/data/train/images/005451_male_Asian_32/mask2.jpg,1
80,mask4,male,30,0,0,1,/opt/ml/input/data/train/images/005451_male_Asian_32/mask4.jpg,1
81,incorrect_mask,male,30,1,0,1,/opt/ml/input/data/train/images/005451_male_Asian_32/incorrect_mask.jpg,7
82,mask3,male,30,0,0,1,/opt/ml/input/data/train/images/005451_male_Asian_32/mask3.jpg,1
83,mask5,male,30,0,0,1,/opt/ml/input/data/train/images/005451_male_Asian_32/mask5.jpg,1
84,normal,male,60,2,0,2,/opt/ml/input/data/train/images/003837_male_Asian_60/normal.jpg,14
85,mask1,male,60,0,0,2,/opt/ml/input/data/train/images/003837_male_Asian_60/mask1.jpg,2
86,mask2,male,60,0,0,2,/opt/ml/input/data/train/images/003837_male_Asian_60/mask2.jpg,2
87,mask4,male,60,0,0,2,/opt/ml/input/data/train/images/003837_male_Asian_60/mask4.jpg,2
88,incorrect_mask,male,60,1,0,2,/opt/ml/input/data/train/images/003837_male_Asian_60/incorrect_mask.jpg,8
89,mask3,male,60,0,0,2,/opt/ml/input/data/train/images/003837_male_Asian_60/mask3.jpg,2
90,mask5,male,60,0,0,2,/opt/ml/input/data/train/images/003837_male_Asian_60/mask5.jpg,2
91,normal,female,30,2,1,1,/opt/ml/input/data/train/images/001358_female_Asian_29/normal.jpg,16
92,mask1,female,30,0,1,1,/opt/ml/input/data/train/images/001358_female_Asian_29/mask1.jpg,4
93,mask2,female,30,0,1,1,/opt/ml/input/data/train/images/001358_female_Asian_29/mask2.jpg,4
94,mask4,female,30,0,1,1,/opt/ml/input/data/train/images/001358_female_Asian_29/mask4.jpg,4
95,incorrect_mask,female,30,1,1,1,/opt/ml/input/data/train/images/001358_female_Asian_29/incorrect_mask.jpg,10
96,mask3,female,30,0,1,1,/opt/ml/input/data/train/images/001358_female_Asian_29/mask3.jpg,4
97,mask5,female,30,0,1,1,/opt/ml/input/data/train/images/001358_female_Asian_29/mask5.jpg,4
98,normal,female,18,2,1,0,/opt/ml/input/data/train/images/006006_female_Asian_18/normal.jpg,15
99,mask1,female,18,0,1,0,/opt/ml/input/data/train/images/006006_female_Asian_18/mask1.jpg,3
100,mask2,female,18,0,1,0,/opt/ml/input/data/train/images/006006_female_Asian_18/mask2.jpg,3
101,mask4,female,18,0,1,0,/opt/ml/input/data/train/images/006006_female_Asian_18/mask4.jpg,3
102,incorrect_mask,female,18,1,1,0,/opt/ml/input/data/train/images/006006_female_Asian_18/incorrect_mask.jpg,9
103,mask3,female,18,0,1,0,/opt/ml/input/data/train/images/006006_female_Asian_18/mask3.jpg,3
104,mask5,female,18,0,1,0,/opt/ml/input/data/train/images/006006_female_Asian_18/mask5.jpg,3
105,normal,female,59,2,1,2,/opt/ml/input/data/train/images/001555_female_Asian_59/normal.jpg,17
106,mask1,female,59,0,1,2,/opt/ml/input/data/train/images/001555_female_Asian_59/mask1.jpg,5
107,mask2,female,59,0,1,2,/opt/ml/input/data/train/images/001555_female_Asian_59/mask2.jpg,5
108,mask4,female,59,0,1,2,/opt/ml/input/data/train/images/001555_female_Asian_59/mask4.jpg,5
109,incorrect_mask,female,59,1,1,2,/opt/ml/input/data/train/images/001555_female_Asian_59/incorrect_mask.jpg,11
110,mask3,female,59,0,1,2,/opt/ml/input/data/train/images/001555_female_Asian_59/mask3.jpg,5
111,mask5,female,59,0,1,2,/opt/ml/input/data/train/images/001555_female_Asian_59/mask5.jpg,5
112,normal,female,18,2,1,0,/opt/ml/input/data/train/images/001619_female_Asian_19/normal.jpg,15
113,mask1,female,18,0,1,0,/opt/ml/input/data/train/images/001619_female_Asian_19/mask1.jpg,3
114,mask2,female,18,0,1,0,/opt/ml/input/data/train/images/001619_female_Asian_19/mask2.jpg,3
115,mask4,female,18,0,1,0,/opt/ml/input/data/train/images/001619_female_Asian_19/mask4.jpg,3
116,incorrect_mask,female,18,1,1,0,/opt/ml/input/data/train/images/001619_female_Asian_19/incorrect_mask.jpg,9
117,mask3,female,18,0,1,0,/opt/ml/input/data/train/images/001619_female_Asian_19/mask3.jpg,3
118,mask5,female,18,0,1,0,/opt/ml/input/data/train/images/001619_female_Asian_19/mask5.jpg,3
119,normal,female,57,2,1,1,/opt/ml/input/data/train/images/000248_female_Asian_54/normal.jpg,16
120,mask1,female,57,0,1,1,/opt/ml/input/data/train/images/000248_female_Asian_54/mask1.jpg,4
121,mask2,female,57,0,1,1,/opt/ml/input/data/train/images/000248_female_Asian_54/mask2.jpg,4
122,mask4,female,57,0,1,1,/opt/ml/input/data/train/images/000248_female_Asian_54/mask4.jpg,4
123,incorrect_mask,female,57,1,1,1,/opt/ml/input/data/train/images/000248_female_Asian_54/incorrect_mask.jpg,10
124,mask3,female,57,0,1,1,/opt/ml/input/data/train/images/000248_female_Asian_54/mask3.jpg,4
125,mask5,female,57,0,1,1,/opt/ml/input/data/train/images/000248_female_Asian_54/mask5.jpg,4
126,normal,female,43,2,1,1,/opt/ml/input/data/train/images/000817_female_Asian_52/normal.jpg,16
127,mask1,female,43,0,1,1,/opt/ml/input/data/train/images/000817_female_Asian_52/mask1.jpg,4
128,mask2,female,43,0,1,1,/opt/ml/input/data/train/images/000817_female_Asian_52/mask2.jpg,4
129,mask4,female,43,0,1,1,/opt/ml/input/data/train/images/000817_female_Asian_52/mask4.jpg,4
130,incorrect_mask,female,43,1,1,1,/opt/ml/input/data/train/images/000817_female_Asian_52/incorrect_mask.jpg,10
131,mask3,female,43,0,1,1,/opt/ml/input/data/train/images/000817_female_Asian_52/mask3.jpg,4
132,mask5,female,43,0,1,1,/opt/ml/input/data/train/images/000817_female_Asian_52/mask5.jpg,4
133,normal,female,18,2,1,0,/opt/ml/input/data/train/images/006456_female_Asian_18/normal.jpg,15
134,mask1,female,18,0,1,0,/opt/ml/input/data/train/images/006456_female_Asian_18/mask1.jpg,3
135,mask2,female,18,0,1,0,/opt/ml/input/data/train/images/006456_female_Asian_18/mask2.jpg,3
136,mask4,female,18,0,1,0,/opt/ml/input/data/train/images/006456_female_Asian_18/mask4.jpg,3
137,incorrect_mask,female,18,1,1,0,/opt/ml/input/data/train/images/006456_female_Asian_18/incorrect_mask.jpg,9
138,mask3,female,18,0,1,0,/opt/ml/input/data/train/images/006456_female_Asian_18/mask3.jpg,3
139,mask5,female,18,0,1,0,/opt/ml/input/data/train/images/006456_female_Asian_18/mask5.jpg,3
140,normal,female,57,2,1,1,/opt/ml/input/data/train/images/001647-1_female_Asian_56/normal.jpg,16
141,mask1,female,57,0,1,1,/opt/ml/input/data/train/images/001647-1_female_Asian_56/mask1.jpg,4
142,mask2,female,57,0,1,1,/opt/ml/input/data/train/images/001647-1_female_Asian_56/mask2.jpg,4
143,mask4,female,57,0,1,1,/opt/ml/input/data/train/images/001647-1_female_Asian_56/mask4.jpg,4
144,incorrect_mask,female,57,1,1,1,/opt/ml/input/data/train/images/001647-1_female_Asian_56/incorrect_mask.jpg,10
145,mask3,female,57,0,1,1,/opt/ml/input/data/train/images/001647-1_female_Asian_56/mask3.jpg,4
146,mask5,female,57,0,1,1,/opt/ml/input/data/train/images/001647-1_female_Asian_56/mask5.jpg,4
147,normal,female,20,2,1,0,/opt/ml/input/data/train/images/003041_female_Asian_20/normal.jpg,15
148,mask1,female,20,0,1,0,/opt/ml/input/data/train/images/003041_female_Asian_20/mask1.jpg,3
149,mask2,female,20,0,1,0,/opt/ml/input/data/train/images/003041_female_Asian_20/mask2.jpg,3
150,mask4,female,20,0,1,0,/opt/ml/input/data/train/images/003041_female_Asian_20/mask4.jpg,3
151,incorrect_mask,female,20,1,1,0,/opt/ml/input/data/train/images/003041_female_Asian_20/incorrect_mask.jpg,9
152,mask3,female,20,0,1,0,/opt/ml/input/data/train/images/003041_female_Asian_20/mask3.jpg,3
153,mask5,female,20,0,1,0,/opt/ml/input/data/train/images/003041_female_Asian_20/mask5.jpg,3
154,normal,female,18,2,1,0,/opt/ml/input/data/train/images/001282_female_Asian_18/normal.jpg,15
155,mask1,female,18,0,1,0,/opt/ml/input/data/train/images/001282_female_Asian_18/mask1.jpg,3
156,mask2,female,18,0,1,0,/opt/ml/input/data/train/images/001282_female_Asian_18/mask2.jpg,3
157,mask4,female,18,0,1,0,/opt/ml/input/data/train/images/001282_female_Asian_18/mask4.jpg,3
158,incorrect_mask,female,18,1,1,0,/opt/ml/input/data/train/images/001282_female_Asian_18/incorrect_mask.jpg,9
159,mask3,female,18,0,1,0,/opt/ml/input/data/train/images/001282_female_Asian_18/mask3.jpg,3
160,mask5,female,18,0,1,0,/opt/ml/input/data/train/images/001282_female_Asian_18/mask5.jpg,3
161,normal,male,23,2,0,0,/opt/ml/input/data/train/images/001105_male_Asian_25/normal.jpg,12
162,mask1,male,23,0,0,0,/opt/ml/input/data/train/images/001105_male_Asian_25/mask1.jpg,0
163,mask2,male,23,0,0,0,/opt/ml/input/data/train/images/001105_male_Asian_25/mask2.jpg,0
164,mask4,male,23,0,0,0,/opt/ml/input/data/train/images/001105_male_Asian_25/mask4.jpg,0
165,incorrect_mask,male,23,1,0,0,/opt/ml/input/data/train/images/001105_male_Asian_25/incorrect_mask.jpg,6
166,mask3,male,23,0,0,0,/opt/ml/input/data/train/images/001105_male_Asian_25/mask3.jpg,0
167,mask5,male,23,0,0,0,/opt/ml/input/data/train/images/001105_male_Asian_25/mask5.jpg,0
168,normal,male,20,2,0,0,/opt/ml/input/data/train/images/001038-1_male_Asian_20/normal.jpg,12
169,mask1,male,20,0,0,0,/opt/ml/input/data/train/images/001038-1_male_Asian_20/mask1.jpg,0
170,mask2,male,20,0,0,0,/opt/ml/input/data/train/images/001038-1_male_Asian_20/mask2.jpg,0
171,mask4,male,20,0,0,0,/opt/ml/input/data/train/images/001038-1_male_Asian_20/mask4.jpg,0
172,incorrect_mask,male,20,1,0,0,/opt/ml/input/data/train/images/001038-1_male_Asian_20/incorrect_mask.jpg,6
173,mask3,male,20,0,0,0,/opt/ml/input/data/train/images/001038-1_male_Asian_20/mask3.jpg,0
174,mask5,male,20,0,0,0,/opt/ml/input/data/train/images/001038-1_male_Asian_20/mask5.jpg,0
175,normal,female,60,2,1,2,/opt/ml/input/data/train/images/003718_female_Asian_60/normal.jpg,17
176,mask1,female,60,0,1,2,/opt/ml/input/data/train/images/003718_female_Asian_60/mask1.jpg,5
177,mask2,female,60,0,1,2,/opt/ml/input/data/train/images/003718_female_Asian_60/mask2.jpg,5
178,mask4,female,60,0,1,2,/opt/ml/input/data/train/images/003718_female_Asian_60/mask4.jpg,5
179,incorrect_mask,female,60,1,1,2,/opt/ml/input/data/train/images/003718_female_Asian_60/incorrect_mask.jpg,11
