,mask,gender,age,mask_label,gender_label,age_label,path,label
0,normal,female,57,2,1,1,/opt/ml/input/data/train/images/003460_female_Asian_54/normal.jpg,16
1,mask1,female,57,0,1,1,/opt/ml/input/data/train/images/003460_female_Asian_54/mask1.jpg,4
2,mask2,female,57,0,1,1,/opt/ml/input/data/train/images/003460_female_Asian_54/mask2.jpg,4
3,mask4,female,57,0,1,1,/opt/ml/input/data/train/images/003460_female_Asian_54/mask4.jpg,4
4,incorrect_mask,female,57,1,1,1,/opt/ml/input/data/train/images/003460_female_Asian_54/incorrect_mask.jpg,10
5,mask3,female,57,0,1,1,/opt/ml/input/data/train/images/003460_female_Asian_54/mask3.jpg,4
6,mask5,female,57,0,1,1,/opt/ml/input/data/train/images/003460_female_Asian_54/mask5.jpg,4
7,normal,female,30,2,1,1,/opt/ml/input/data/train/images/005146_female_Asian_40/normal.jpg,16
8,mask1,female,30,0,1,1,/opt/ml/input/data/train/images/005146_female_Asian_40/mask1.jpg,4
9,mask2,female,30,0,1,1,/opt/ml/input/data/train/images/005146_female_Asian_40/mask2.jpg,4
10,mask4,female,30,0,1,1,/opt/ml/input/data/train/images/005146_female_Asian_40/mask4.jpg,4
11,incorrect_mask,female,30,1,1,1,/opt/ml/input/data/train/images/005146_female_Asian_40/incorrect_mask.jpg,10
12,mask3,female,30,0,1,1,/opt/ml/input/data/train/images/005146_female_Asian_40/mask3.jpg,4
13,mask5,female,30,0,1,1,/opt/ml/input/data/train/images/005146_female_Asian_40/mask5.jpg,4
14,normal,female,57,2,1,1,/opt/ml/input/data/train/images/000512_female_Asian_55/normal.jpg,16
15,mask1,female,57,0,1,1,/opt/ml/input/data/train/images/000512_female_Asian_55/mask1.jpg,4
16,mask2,female,57,0,1,1,/opt/ml/input/data/train/images/000512_female_Asian_55/mask2.jpg,4
17,mask4,female,57,0,1,1,/opt/ml/input/data/train/images/000512_female_Asian_55/mask4.jpg,4
18,incorrect_mask,female,57,1,1,1,/opt/ml/input/data/train/images/000512_female_Asian_55/incorrect_mask.jpg,10
19,mask3,female,57,0,1,1,/opt/ml/input/data/train/images/000512_female_Asian_55/mask3.jpg,4
20,mask5,female,57,0,1,1,/opt/ml/input/data/train/images/000512_female_Asian_55/mask5.jpg,4
21,normal,female,18,2,1,0,/opt/ml/input/data/train/images/001623_female_Asian_19/normal.jpg,15
22,mask1,female,18,0,1,0,/opt/ml/input/data/train/images/001623_female_Asian_19/mask1.jpg,3
23,mask2,female,18,0,1,0,/opt/ml/input/data/train/images/001623_female_Asian_19/mask2.jpg,3
24,mask4,female,18,0,1,0,/opt/ml/input/data/train/images/001623_female_Asian_19/mask4.jpg,3
25,incorrect_mask,female,18,1,1,0,/opt/ml/input/data/train/images/001623_female_Asian_19/incorrect_mask.jpg,9
26,mask3,female,18,0,1,0,/opt/ml/input/data/train/images/001623_female_Asian_19/mask3.jpg,3
27,mask5,female,18,0,1,0,/opt/ml/input/data/train/images/001623_female_Asian_19/mask5.jpg,3
28,normal,female,23,2,1,0,/opt/ml/input/data/train/images/001542_female_Asian_25/normal.jpg,15
29,mask1,female,23,0,1,0,/opt/ml/input/data/train/images/001542_female_Asian_25/mask1.jpg,3
30,mask2,female,23,0,1,0,/opt/ml/input/data/train/images/001542_female_Asian_25/mask2.jpg,3
31,mask4,female,23,0,1,0,/opt/ml/input/data/train/images/001542_female_Asian_25/mask4.jpg,3
32,incorrect_mask,female,23,1,1,0,/opt/ml/input/data/train/images/001542_female_Asian_25/incorrect_mask.jpg,9
33,mask3,female,23,0,1,0,/opt/ml/input/data/train/images/001542_female_Asian_25/mask3.jpg,3
34,mask5,female,23,0,1,0,/opt/ml/input/data/train/images/001542_female_Asian_25/mask5.jpg,3
35,normal,male,18,2,0,0,/opt/ml/input/data/train/images/006699_male_Asian_19/normal.jpg,12
36,mask1,male,18,0,0,0,/opt/ml/input/data/train/images/006699_male_Asian_19/mask1.jpg,0
37,mask2,male,18,0,0,0,/opt/ml/input/data/train/images/006699_male_Asian_19/mask2.jpg,0
38,mask4,male,18,0,0,0,/opt/ml/input/data/train/images/006699_male_Asian_19/mask4.jpg,0
39,incorrect_mask,male,18,1,0,0,/opt/ml/input/data/train/images/006699_male_Asian_19/incorrect_mask.jpg,6
40,mask3,male,18,0,0,0,/opt/ml/input/data/train/images/006699_male_Asian_19/mask3.jpg,0
41,mask5,male,18,0,0,0,/opt/ml/input/data/train/images/006699_male_Asian_19/mask5.jpg,0
42,normal,male,20,2,0,0,/opt/ml/input/data/train/images/006563_male_Asian_20/normal.jpg,12
43,mask1,male,20,0,0,0,/opt/ml/input/data/train/images/006563_male_Asian_20/mask1.jpg,0
44,mask2,male,20,0,0,0,/opt/ml/input/data/train/images/006563_male_Asian_20/mask2.jpg,0
45,mask4,male,20,0,0,0,/opt/ml/input/data/train/images/006563_male_Asian_20/mask4.jpg,0
46,incorrect_mask,male,20,1,0,0,/opt/ml/input/data/train/images/006563_male_Asian_20/incorrect_mask.jpg,6
47,mask3,male,20,0,0,0,/opt/ml/input/data/train/images/006563_male_Asian_20/mask3.jpg,0
48,mask5,male,20,0,0,0,/opt/ml/input/data/train/images/006563_male_Asian_20/mask5.jpg,0
49,normal,female,18,2,1,0,/opt/ml/input/data/train/images/003370_female_Asian_19/normal.jpg,15
50,mask1,female,18,0,1,0,/opt/ml/input/data/train/images/003370_female_Asian_19/mask1.jpg,3
51,mask2,female,18,0,1,0,/opt/ml/input/data/train/images/003370_female_Asian_19/mask2.jpg,3
52,mask4,female,18,0,1,0,/opt/ml/input/data/train/images/003370_female_Asian_19/mask4.jpg,3
53,incorrect_mask,female,18,1,1,0,/opt/ml/input/data/train/images/003370_female_Asian_19/incorrect_mask.jpg,9
54,mask3,female,18,0,1,0,/opt/ml/input/data/train/images/003370_female_Asian_19/mask3.jpg,3
55,mask5,female,18,0,1,0,/opt/ml/input/data/train/images/003370_female_Asian_19/mask5.jpg,3
56,normal,male,57,2,0,1,/opt/ml/input/data/train/images/000538_male_Asian_54/normal.jpg,13
57,mask1,male,57,0,0,1,/opt/ml/input/data/train/images/000538_male_Asian_54/mask1.jpg,1
58,mask2,male,57,0,0,1,/opt/ml/input/data/train/images/000538_male_Asian_54/mask2.jpg,1
59,mask4,male,57,0,0,1,/opt/ml/input/data/train/images/000538_male_Asian_54/mask4.jpg,1
60,incorrect_mask,male,57,1,0,1,/opt/ml/input/data/train/images/000538_male_Asian_54/incorrect_mask.jpg,7
61,mask3,male,57,0,0,1,/opt/ml/input/data/train/images/000538_male_Asian_54/mask3.jpg,1
62,mask5,male,57,0,0,1,/opt/ml/input/data/train/images/000538_male_Asian_54/mask5.jpg,1
63,normal,male,60,2,0,2,/opt/ml/input/data/train/images/004353_male_Asian_60/normal.jpg,14
64,mask1,male,60,0,0,2,/opt/ml/input/data/train/images/004353_male_Asian_60/mask1.jpg,2
65,mask2,male,60,0,0,2,/opt/ml/input/data/train/images/004353_male_Asian_60/mask2.jpg,2
66,mask4,male,60,0,0,2,/opt/ml/input/data/train/images/004353_male_Asian_60/mask4.jpg,2
67,incorrect_mask,male,60,1,0,2,/opt/ml/input/data/train/images/004353_male_Asian_60/incorrect_mask.jpg,8
68,mask3,male,60,0,0,2,/opt/ml/input/data/train/images/004353_male_Asian_60/mask3.jpg,2
69,mask5,male,60,0,0,2,/opt/ml/input/data/train/images/004353_male_Asian_60/mask5.jpg,2
70,normal,female,58,2,1,2,/opt/ml/input/data/train/images/001376_female_Asian_58/normal.jpg,17
71,mask1,female,58,0,1,2,/opt/ml/input/data/train/images/001376_female_Asian_58/mask1.jpg,5
72,mask2,female,58,0,1,2,/opt/ml/input/data/train/images/001376_female_Asian_58/mask2.jpg,5
73,mask4,female,58,0,1,2,/opt/ml/input/data/train/images/001376_female_Asian_58/mask4.jpg,5
74,incorrect_mask,female,58,1,1,2,/opt/ml/input/data/train/images/001376_female_Asian_58/incorrect_mask.jpg,11
75,mask3,female,58,0,1,2,/opt/ml/input/data/train/images/001376_female_Asian_58/mask3.jpg,5
76,mask5,female,58,0,1,2,/opt/ml/input/data/train/images/001376_female_Asian_58/mask5.jpg,5
77,normal,female,20,2,1,0,/opt/ml/input/data/train/images/001140_female_Asian_22/normal.jpg,15
78,mask1,female,20,0,1,0,/opt/ml/input/data/train/images/001140_female_Asian_22/mask1.jpg,3
79,mask2,female,20,0,1,0,/opt/ml/input/data/train/images/001140_female_Asian_22/mask2.jpg,3
80,mask4,female,20,0,1,0,/opt/ml/input/data/train/images/001140_female_Asian_22/mask4.jpg,3
81,incorrect_mask,female,20,1,1,0,/opt/ml/input/data/train/images/001140_female_Asian_22/incorrect_mask.jpg,9
82,mask3,female,20,0,1,0,/opt/ml/input/data/train/images/001140_female_Asian_22/mask3.jpg,3
83,mask5,female,20,0,1,0,/opt/ml/input/data/train/images/001140_female_Asian_22/mask5.jpg,3
84,normal,male,18,2,0,0,/opt/ml/input/data/train/images/001077_male_Asian_19/normal.jpg,12
85,mask1,male,18,0,0,0,/opt/ml/input/data/train/images/001077_male_Asian_19/mask1.jpg,0
86,mask2,male,18,0,0,0,/opt/ml/input/data/train/images/001077_male_Asian_19/mask2.jpg,0
87,mask4,male,18,0,0,0,/opt/ml/input/data/train/images/001077_male_Asian_19/mask4.jpg,0
88,incorrect_mask,male,18,1,0,0,/opt/ml/input/data/train/images/001077_male_Asian_19/incorrect_mask.jpg,6
89,mask3,male,18,0,0,0,/opt/ml/input/data/train/images/001077_male_Asian_19/mask3.jpg,0
90,mask5,male,18,0,0,0,/opt/ml/input/data/train/images/001077_male_Asian_19/mask5.jpg,0
91,normal,female,60,2,1,2,/opt/ml/input/data/train/images/004477_female_Asian_60/normal.jpg,17
92,mask1,female,60,0,1,2,/opt/ml/input/data/train/images/004477_female_Asian_60/mask1.jpg,5
93,mask2,female,60,0,1,2,/opt/ml/input/data/train/images/004477_female_Asian_60/mask2.jpg,5
94,mask4,female,60,0,1,2,/opt/ml/input/data/train/images/004477_female_Asian_60/mask4.jpg,5
95,incorrect_mask,female,60,1,1,2,/opt/ml/input/data/train/images/004477_female_Asian_60/incorrect_mask.jpg,11
96,mask3,female,60,0,1,2,/opt/ml/input/data/train/images/004477_female_Asian_60/mask3.jpg,5
97,mask5,female,60,0,1,2,/opt/ml/input/data/train/images/004477_female_Asian_60/mask5.jpg,5
98,normal,female,57,2,1,1,/opt/ml/input/data/train/images/000643_female_Asian_53/normal.jpg,16
99,mask1,female,57,0,1,1,/opt/ml/input/data/train/images/000643_female_Asian_53/mask1.jpg,4
100,mask2,female,57,0,1,1,/opt/ml/input/data/train/images/000643_female_Asian_53/mask2.jpg,4
101,mask4,female,57,0,1,1,/opt/ml/input/data/train/images/000643_female_Asian_53/mask4.jpg,4
102,incorrect_mask,female,57,1,1,1,/opt/ml/input/data/train/images/000643_female_Asian_53/incorrect_mask.jpg,10
103,mask3,female,57,0,1,1,/opt/ml/input/data/train/images/000643_female_Asian_53/mask3.jpg,4
104,mask5,female,57,0,1,1,/opt/ml/input/data/train/images/000643_female_Asian_53/mask5.jpg,4
105,normal,male,18,2,0,0,/opt/ml/input/data/train/images/006728_male_Asian_19/normal.jpg,12
106,mask1,male,18,0,0,0,/opt/ml/input/data/train/images/006728_male_Asian_19/mask1.jpg,0
107,mask2,male,18,0,0,0,/opt/ml/input/data/train/images/006728_male_Asian_19/mask2.jpg,0
108,mask4,male,18,0,0,0,/opt/ml/input/data/train/images/006728_male_Asian_19/mask4.jpg,0
109,incorrect_mask,male,18,1,0,0,/opt/ml/input/data/train/images/006728_male_Asian_19/incorrect_mask.jpg,6
110,mask3,male,18,0,0,0,/opt/ml/input/data/train/images/006728_male_Asian_19/mask3.jpg,0
111,mask5,male,18,0,0,0,/opt/ml/input/data/train/images/006728_male_Asian_19/mask5.jpg,0
112,normal,male,57,2,0,1,/opt/ml/input/data/train/images/003501_male_Asian_56/normal.jpg,13
113,mask1,male,57,0,0,1,/opt/ml/input/data/train/images/003501_male_Asian_56/mask1.jpg,1
114,mask2,male,57,0,0,1,/opt/ml/input/data/train/images/003501_male_Asian_56/mask2.jpg,1
115,mask4,male,57,0,0,1,/opt/ml/input/data/train/images/003501_male_Asian_56/mask4.jpg,1
116,incorrect_mask,male,57,1,0,1,/opt/ml/input/data/train/images/003501_male_Asian_56/incorrect_mask.jpg,7
117,mask3,male,57,0,0,1,/opt/ml/input/data/train/images/003501_male_Asian_56/mask3.jpg,1
118,mask5,male,57,0,0,1,/opt/ml/input/data/train/images/003501_male_Asian_56/mask5.jpg,1
119,normal,male,43,2,0,1,/opt/ml/input/data/train/images/001774-2_male_Asian_52/normal.jpg,13
120,mask1,male,43,0,0,1,/opt/ml/input/data/train/images/001774-2_male_Asian_52/mask1.jpg,1
121,mask2,male,43,0,0,1,/opt/ml/input/data/train/images/001774-2_male_Asian_52/mask2.jpg,1
122,mask4,male,43,0,0,1,/opt/ml/input/data/train/images/001774-2_male_Asian_52/mask4.jpg,1
123,incorrect_mask,male,43,1,0,1,/opt/ml/input/data/train/images/001774-2_male_Asian_52/incorrect_mask.jpg,7
124,mask3,male,43,0,0,1,/opt/ml/input/data/train/images/001774-2_male_Asian_52/mask3.jpg,1
125,mask5,male,43,0,0,1,/opt/ml/input/data/train/images/001774-2_male_Asian_52/mask5.jpg,1
126,normal,male,18,2,0,0,/opt/ml/input/data/train/images/004424_male_Asian_19/normal.jpg,12
127,mask1,male,18,0,0,0,/opt/ml/input/data/train/images/004424_male_Asian_19/mask1.jpg,0
128,mask2,male,18,0,0,0,/opt/ml/input/data/train/images/004424_male_Asian_19/mask2.jpg,0
