ImageID,ans
cbc5c6e168e63498590db46022617123f1fe1268.jpg,"[ 2.2906487   0.03731283  1.6974964   1.9720815  -1.111492   -0.04191107
  0.5267545   0.23195    -0.7573708   0.7196262   1.0448675   2.0445516
  1.7546985  -0.06049482  0.13059059 -1.0532413  -2.5345907  -0.26642987]"
0e72482bf56b3581c081f7da2a6180b8792c7089.jpg,"[ 1.6080658  -0.3216752   1.6269668   2.340655   -3.120443   -1.6158316
  1.6513313  -0.09151836  0.6118262   0.8667661   0.8207926   0.4743359
  0.33466542 -0.10005702  1.8495415  -1.3184059   0.4949301  -0.39075574]"
b549040c49190cedc41327748aeb197c1670f14d.jpg,"[ 2.486584   -2.0196502   1.3160292   0.7967883  -1.6802002   0.45389402
  1.9508549   0.24217506  0.40916368  0.7223253   0.98333144  0.40707108
  0.61398584  0.05875646  1.0342442   0.09300669 -1.090985    0.68352866]"
4f9cb2a045c6d5b9e50ad3459ea7b791eb6e18bc.jpg,"[-0.03020328  0.80166334  3.1137974   2.844697   -0.37550482 -0.46551082
  1.436009    0.41096386 -0.05900666  3.1235988  -0.6946608   3.1652107
  1.9438353  -0.48243776  2.2734277   0.27474478 -1.5255002  -1.5465472 ]"
248428d9a4a5b6229a7081c32851b90cb8d38d0c.jpg,"[ 0.92712146  0.15691529  0.43009672  0.11921755  0.29000285 -0.5492706
  1.0840592   0.7918792   0.4931106  -0.0073497  -1.6331152   2.0636258
  1.1932366  -2.9203265   2.7434468  -0.30091378  0.3385145   1.947055  ]"
7953c2e6e983bad91b89a0e4ad7eb69e6e43e56b.jpg,"[ 0.09041771 -0.4847835   1.5158048   1.4039205   0.26304257 -0.11509597
  2.0366626   0.40806186 -0.79071945  0.03690772 -2.5461385  -0.16363166
  1.096735    0.07598236 -0.45874992 -0.02087864  0.10185473  0.6662766 ]"
1903db7dcc1262d0441677afa422e6a8371e5b37.jpg,"[ 1.5926058  -0.11457629  2.54885     2.692472   -0.47051048 -1.0636634
  1.9818836  -1.027059   -0.15581599 -0.41312897 -0.29848182 -0.56469613
 -0.47798246  1.6304444   2.151707    0.6644174  -0.15526551  2.0754676 ]"
441419a874f4d031cd576850b68539ca7d35bedf.jpg,"[ 0.8242172  -1.5897617   1.3757828  -1.1304508   0.45394418  0.4921399
  1.7667543   0.8777748   0.16801932  0.34272555  0.07304445 -0.46380824
 -0.7806864   0.57008576 -2.074385   -1.8551878   1.0485885   0.19058682]"
388856cd1ef99b1918273a827a75f2aff2478321.jpg,"[ 0.8755948  -2.385238    1.4263421  -0.19631661  0.2038844  -0.2287432
  2.7028766   0.24940406 -0.24153972  2.162889   -0.33015305 -0.21457697
  0.73626715  1.4616944   0.61264676 -1.2650745   1.4576243  -0.8079004 ]"
795ba8ccc769a3f9da6a897f75df6706b729345b.jpg,"[-0.8774877  -0.44716933  1.0233364  -0.8922967  -0.10599019 -1.2184478
  1.1944593   0.8023768   1.0224342   2.0080512   1.4954598   0.40137053
  0.54553145 -0.40782264  0.56651306  0.5065942  -1.110066    0.5935686 ]"
9028e8c54f80096bf4e43390caf003f64c90e5ce.jpg,"[ 1.7680554   0.24473387  0.51969147  1.9992814   0.11074825  1.1717981
  0.90697926  0.12115196 -0.5111761  -0.43775278 -0.06162302  0.7011584
  1.1091243   0.84351385  2.0288684  -0.24968833 -0.5860554   1.2033135 ]"
78900cfc8a2bb5cb69c60bdef92b173a8a48c8ec.jpg,"[ 3.2618644  -1.3094969   2.2867668   1.9359065   0.9106405  -0.8231149
  0.71785676 -0.21016856  2.1173196   2.9554367  -0.1347555   0.41009438
  0.34868684 -1.5425307   1.6460757  -0.328791    1.065312    0.1387668 ]"
cba23bf8b02a8ddc470db8799fef62220819737e.jpg,"[ 0.9320248   0.2175804   2.8634834  -0.589461    1.0912671  -1.9297047
  1.5606675   1.9019079   0.05247295  0.45763505  0.72853345 -0.3778655
  1.919375    0.97099096  2.2022882  -2.0956175   1.6253229  -2.702954  ]"
d3921eae9f9a45d89f0bd1ea0e71354178481245.jpg,"[ 1.0217196  -0.13984233  1.5967646  -0.28666762  0.02937621 -0.05978786
 -0.5164237   1.1252111   1.0116857   2.3058448   0.22470884  0.7922086
 -0.8335218  -0.75145584  1.2446586   0.22518644  0.13446827  0.18116274]"
4d796a1ccf67a49c465e2b6b79a2caf8228adbca.jpg,"[ 0.7180464  -0.8547162   2.1005871   0.4184052   0.75424165 -0.38873172
  4.299688    1.1506337  -0.7091656   0.33430552 -1.489484    0.7187601
  2.0879862  -0.9161984  -0.5070922  -0.6347226  -1.5565275  -0.9231869 ]"
69ad31adcc3e6e8de7af886e970233fa61699045.jpg,"[ 0.83643943 -0.0398458   2.248324    0.29409274 -0.10099291  0.12012271
  2.064226   -0.2358812   0.6540921  -0.11891264 -2.5822647   1.612133
  0.06179419  0.37492198  2.5795212  -0.23677744  1.294547    0.82571787]"
b1b1aa65544324d9ebc89b3deb4a714f4d1d7ea3.jpg,"[ 1.5256777  -0.17508096  1.6300198   1.0554514  -2.6022217  -0.55627
  0.9269202  -0.6017507   0.45455682  0.47649658 -0.09129967  1.7906586
  0.90035516  1.8870529   4.36573    -2.5199623   1.8983481  -0.32661065]"
6aa8e1282c5303e18101e3dede784dd1f5c076a0.jpg,"[ 0.63802713 -2.0288682   1.3754659  -0.6296339   1.0634195  -1.2477849
  2.0470283  -0.12292552 -1.0464318   1.7086674   1.0744884   1.0992173
  0.35064432  0.88529044  2.3925247   0.75942516  0.19889703  0.9016007 ]"
7665a0a126eec039d2c8baf9c6eedc004738c128.jpg,"[ 1.1932776  -2.2607663   0.5693617   2.0703363  -1.6185298   0.91599125
  1.9039342  -0.61882406 -0.91942084  1.3040252  -2.2433867  -0.62010914
  0.92262596 -0.5343488   2.542562    0.22322243  2.1045713  -0.70758826]"
91598d7dad0122459e004ecd8a4e745acbd63101.jpg,"[ 0.57805306 -0.64802885  1.5300413   1.4294525   0.01625414 -1.0612215
  1.6796272  -1.7481192   0.7863845   2.128332   -1.1847092   0.44481426
  0.38055044  0.45707497  1.5804093  -1.063843   -0.5511086   1.5833039 ]"
