,id,gender,race,age,path
1163,003117,female,Asian,18,003117_female_Asian_18
80,000243,female,Asian,58,000243_female_Asian_58
2517,006502,male,Asian,23,006502_male_Asian_26
480,001106,female,Asian,60,001106_female_Asian_60
2576,006614,male,Asian,18,006614_male_Asian_19
1508,003583,female,Asian,60,003583_female_Asian_60
1034,001868,female,Asian,43,001868_female_Asian_52
2005,005056,female,Asian,57,005056_female_Asian_55
2540,006542,female,Asian,20,006542_female_Asian_21
114,000294,female,Asian,57,000294_female_Asian_53
1027,001841,female,Asian,30,001841_female_Asian_40
2166,005451,male,Asian,30,005451_male_Asian_32
1660,003837,male,Asian,60,003837_male_Asian_60
666,001358,female,Asian,30,001358_female_Asian_29
2254,006006,female,Asian,18,006006_female_Asian_18
815,001555,female,Asian,59,001555_female_Asian_59
869,001619,female,Asian,18,001619_female_Asian_19
83,000248,female,Asian,57,000248_female_Asian_54
365,000817,female,Asian,43,000817_female_Asian_52
2481,006456,female,Asian,18,006456_female_Asian_18
895,001647-1,female,Asian,57,001647-1_female_Asian_56
1104,003041,female,Asian,20,003041_female_Asian_20
615,001282,female,Asian,18,001282_female_Asian_18
479,001105,male,Asian,23,001105_male_Asian_25
417,001038-1,male,Asian,20,001038-1_male_Asian_20
1564,003718,female,Asian,60,003718_female_Asian_60
1111,003050,female,Asian,20,003050_female_Asian_20
817,001557,female,Asian,23,001557_female_Asian_23
1247,003235,female,Asian,20,003235_female_Asian_20
3,000005,female,Asian,58,000005_female_Asian_58
692,001403,male,Asian,18,001403_male_Asian_18
719,001451,female,Asian,43,001451_female_Asian_52
834,001577,female,Asian,23,001577_female_Asian_25
2683,006934,male,Asian,18,006934_male_Asian_19
729,001461,female,Asian,43,001461_female_Asian_50
669,001360,male,Asian,23,001360_male_Asian_26
2202,005496,female,Asian,43,005496_female_Asian_52
2331,006176,female,Asian,18,006176_female_Asian_19
2102,005269,male,Asian,20,005269_male_Asian_21
524,001154,female,Asian,23,001154_female_Asian_23
2596,006648,female,Asian,18,006648_female_Asian_19
846,001591,female,Asian,57,001591_female_Asian_56
2267,006075,male,Asian,18,006075_male_Asian_18
2301,006136,male,Asian,18,006136_male_Asian_19
2054,005151,female,Asian,30,005151_female_Asian_32
2189,005479,male,Asian,43,005479_male_Asian_45
452,001072,female,Asian,23,001072_female_Asian_25
556,001186,female,Asian,43,001186_female_Asian_50
2462,006434,female,Asian,18,006434_female_Asian_18
124,000312,female,Asian,57,000312_female_Asian_57
1259,003265,female,Asian,20,003265_female_Asian_20
1227,003192,female,Asian,18,003192_female_Asian_19
2594,006644,male,Asian,18,006644_male_Asian_19
1348,003374,female,Asian,20,003374_female_Asian_20
642,001321,female,Asian,23,001321_female_Asian_27
583,001230,male,Asian,23,001230_male_Asian_24
2188,005478,female,Asian,43,005478_female_Asian_43
501,001131-1,male,Asian,20,001131-1_male_Asian_22
2613,006668,male,Asian,20,006668_male_Asian_22
1903,004423,male,Asian,18,004423_male_Asian_18
1005,001803,female,Asian,23,001803_female_Asian_27
1979,005024,female,Asian,57,005024_female_Asian_54
888,001640,male,Asian,18,001640_male_Asian_18
2341,006213,male,Asian,18,006213_male_Asian_19
1962,005003,female,Asian,43,005003_female_Asian_45
152,000528,female,Asian,43,000528_female_Asian_51
1349,003376,female,Asian,18,003376_female_Asian_19
981,001774-1,female,Asian,43,001774-1_female_Asian_52
2696,006955,male,Asian,18,006955_male_Asian_19
1280,003293,female,Asian,18,003293_female_Asian_19
1714,003945,male,Asian,57,003945_male_Asian_53
1963,005004,female,Asian,30,005004_female_Asian_30
1559,003712,male,Asian,60,003712_male_Asian_60
1094,003029,female,Asian,20,003029_female_Asian_20
1504,003578,female,Asian,43,003578_female_Asian_51
2441,006410,female,Asian,18,006410_female_Asian_18
2374,006262,female,Asian,20,006262_female_Asian_20
2204,005498,female,Asian,43,005498_female_Asian_50
675,001368,female,Asian,20,001368_female_Asian_22
716,001445,male,Asian,57,001445_male_Asian_57
2,000004,male,Asian,57,000004_male_Asian_54
998,001793,female,Asian,23,001793_female_Asian_25
64,000221,female,Asian,30,000221_female_Asian_40
1009,001809,male,Asian,23,001809_male_Asian_24
573,001215,male,Asian,18,001215_male_Asian_19
2456,006427,female,Asian,18,006427_female_Asian_18
2159,005444,male,Asian,23,005444_male_Asian_25
1593,003754,male,Asian,43,003754_male_Asian_52
2666,006746,male,Asian,18,006746_male_Asian_19
517,001147,male,Asian,30,001147_male_Asian_35
2294,006127,male,Asian,20,006127_male_Asian_20
845,001590,female,Asian,18,001590_female_Asian_18
1095,003031,female,Asian,18,003031_female_Asian_19
1013,001815,male,Asian,23,001815_male_Asian_26
2334,006179,female,Asian,18,006179_female_Asian_18
2127,005405,female,Asian,20,005405_female_Asian_20
1242,003227,female,Asian,18,003227_female_Asian_19
1643,003813,male,Asian,43,003813_male_Asian_51
1672,003851,female,Asian,59,003851_female_Asian_59
2002,005052,male,Asian,43,005052_male_Asian_46
355,000802,female,Asian,43,000802_female_Asian_52
924,001710,male,Asian,58,001710_male_Asian_58
1530,003639,male,Asian,60,003639_male_Asian_60
210,000605,male,Asian,57,000605_male_Asian_57
1376,003406,male,Asian,57,003406_male_Asian_55
429,001048,female,Asian,59,001048_female_Asian_59
1443,003509-1,male,Asian,57,003509-1_male_Asian_57
901,001655,female,Asian,58,001655_female_Asian_58
1820,004284,male,Asian,60,004284_male_Asian_60
451,001071,male,Asian,43,001071_male_Asian_45
1736,004078,female,Asian,57,004078_female_Asian_53
2075,005237,male,Asian,20,005237_male_Asian_22
1882,004384,female,Asian,60,004384_female_Asian_60
2058,005183,female,Asian,20,005183_female_Asian_20
2193,005484,female,Asian,57,005484_female_Asian_56
1570,003724,female,Asian,58,003724_female_Asian_58
2247,005554,female,Asian,30,005554_female_Asian_40
570,001201,male,Asian,23,001201_male_Asian_26
992,001786,male,Asian,30,001786_male_Asian_28
2558,006579,female,Asian,20,006579_female_Asian_20
421,001042,male,Asian,18,001042_male_Asian_19
1297,003314,female,Asian,20,003314_female_Asian_20
559,001187-1,male,Asian,23,001187-1_male_Asian_25
2135,005414,female,Asian,20,005414_female_Asian_22
856,001601,female,Asian,43,001601_female_Asian_50
1307,003325,female,Asian,18,003325_female_Asian_19
804,001541,female,Asian,23,001541_female_Asian_23
1524,003615,male,Asian,59,003615_male_Asian_59
2274,006087,male,Asian,18,006087_male_Asian_18
2199,005493,female,Asian,30,005493_female_Asian_38
2448,006419,female,Asian,18,006419_female_Asian_18
2340,006212,male,Asian,18,006212_male_Asian_19
701,001418,male,Asian,59,001418_male_Asian_59
1651,003824,female,Asian,30,003824_female_Asian_36
813,001550,male,Asian,30,001550_male_Asian_28
22,000028,female,Asian,58,000028_female_Asian_58
2643,006714,male,Asian,20,006714_male_Asian_20
604,001263,male,Asian,30,001263_male_Asian_33
974,001767,female,Asian,43,001767_female_Asian_50
1217,003180,female,Asian,18,003180_female_Asian_19
1958,004489,male,Asian,23,004489_male_Asian_23
2384,006341,female,Asian,18,006341_female_Asian_18
1969,005011,female,Asian,43,005011_female_Asian_45
685,001389,male,Asian,20,001389_male_Asian_21
555,001184,female,Asian,43,001184_female_Asian_50
767,001502,female,Asian,18,001502_female_Asian_18
2361,006236,male,Asian,20,006236_male_Asian_20
1207,003169,female,Asian,20,003169_female_Asian_20
2687,006944,male,Asian,20,006944_male_Asian_20
1668,003847,male,Asian,58,003847_male_Asian_58
1867,004362,female,Asian,58,004362_female_Asian_58
1239,003224,female,Asian,18,003224_female_Asian_19
598,001253,male,Asian,23,001253_male_Asian_24
1970,005014,female,Asian,30,005014_female_Asian_35
2466,006439,female,Asian,18,006439_female_Asian_18
706,001424,male,Asian,57,001424_male_Asian_55
2479,006454,female,Asian,18,006454_female_Asian_18
2113,005282,male,Asian,18,005282_male_Asian_19
963,001755,male,Asian,30,001755_male_Asian_38
1260,003266,female,Asian,20,003266_female_Asian_20
67,000226,female,Asian,58,000226_female_Asian_58
499,001130,male,Asian,23,001130_male_Asian_23
1492,003565,female,Asian,57,003565_female_Asian_57
1264,003270,female,Asian,18,003270_female_Asian_19
418,001039,female,Asian,23,001039_female_Asian_25
1300,003317,female,Asian,18,003317_female_Asian_19
2176,005463,female,Asian,43,005463_female_Asian_48
2050,005145,female,Asian,30,005145_female_Asian_30
2209,005504,female,Asian,60,005504_female_Asian_60
714,001443,female,Asian,43,001443_female_Asian_45
1174,003130,female,Asian,18,003130_female_Asian_19
2190,005480,female,Asian,23,005480_female_Asian_24
1202,003164,female,Asian,18,003164_female_Asian_19
1206,003168,female,Asian,20,003168_female_Asian_20
2318,006160,male,Asian,20,006160_male_Asian_20
2604,006657,male,Asian,20,006657_male_Asian_20
581,001227,male,Asian,23,001227_male_Asian_24
2497,006477,female,Asian,18,006477_female_Asian_18
2577,006615,male,Asian,18,006615_male_Asian_19
359,000810,male,Asian,58,000810_male_Asian_58
2669,006750,male,Asian,18,006750_male_Asian_19
2574,006612,male,Asian,18,006612_male_Asian_19
2140,005419,female,Asian,30,005419_female_Asian_38
1644,003814,male,Asian,23,003814_male_Asian_27
1687,003873,male,Asian,58,003873_male_Asian_58
1113,003052,female,Asian,18,003052_female_Asian_19
268,000675,female,Asian,59,000675_female_Asian_59
889,001641,male,Asian,18,001641_male_Asian_18
1402,003441,female,Asian,43,003441_female_Asian_50
294,000716,male,Asian,43,000716_male_Asian_51
961,001752,male,Asian,57,001752_male_Asian_53
2387,006345,female,Asian,18,006345_female_Asian_18
1052,001919,female,Asian,57,001919_female_Asian_53
1254,003245,female,Asian,18,003245_female_Asian_19
2048,005141,male,Asian,43,005141_male_Asian_48
176,000558,female,Asian,58,000558_female_Asian_58
94,000267,male,Asian,58,000267_male_Asian_58
1546,003684,male,Asian,58,003684_male_Asian_58
1137,003082,female,Asian,18,003082_female_Asian_19
